age,fsr
213.5,0.750332609
213,0.752618608
212.5,0.754784424
212,0.756823452
211.5,0.758730429
211,0.760501454
210.5,0.762134004
210,0.763626949
209.5,0.764980533
209,0.766196338
208.5,0.767277198
208,0.768227085
207.5,0.769050932
207,0.769754411
206.5,0.770343662
206,0.77082499
205.5,0.771204555
205,0.771488043
204.5,0.771680358
204,0.771785324
203.5,0.771805443
203,0.771741718
202.5,0.771593577
202,0.771358864
201.5,0.771033902
201,0.770613605
200.5,0.770091655
200,0.769460756
199.5,0.768712954
199,0.767839999
198.5,0.766833719
198,0.765686393
197.5,0.764391113
197,0.76294216
196.5,0.761335363
196,0.759568407
195.5,0.757641045
195,0.755555218
194.5,0.753315064
194,0.750926884
193.5,0.748399043
193,0.745741816
192.5,0.742967157
192,0.740088414
191.5,0.737119995
191,0.734077045
190.5,0.730975121
190,0.727829889
189.5,0.724656826
189,0.721470918
188.5,0.718286396
188,0.715116509
187.5,0.71197337
187,0.708867866
186.5,0.705809657
186,0.702807212
185.5,0.699867893
185,0.696998054
184.5,0.694203155
184,0.691487855
183.5,0.688856098
183,0.686311183
182.5,0.683855806
182,0.681492067
181.5,0.679221437
181,0.677044715
180.5,0.674961977
180,0.672972573
179.5,0.671075169
179,0.669267821
178.5,0.667548065
178,0.665913002
177.5,0.664359398
177,0.662883804
176.5,0.661482693
176,0.660152592
175.5,0.65889019
175,0.657692399
174.5,0.656556386
174,0.65547959
173.5,0.65445975
173,0.653494936
172.5,0.652583589
172,0.651724575
171.5,0.650917224
171,0.650161375
170.5,0.649457419
170,0.648806324
169.5,0.648209647
169,0.647669504
168.5,0.647188493
168,0.64676957
167.5,0.646415886
167,0.646130594
166.5,0.645916638
166,0.645776517
165.5,0.645712057
165,0.645724176
164.5,0.645812689
164,0.645976143
163.5,0.646211703
163,0.646515085
162.5,0.646880548
162,0.647300957
161.5,0.647767919
161,0.648271969
160.5,0.648802795
160,0.649349501
159.5,0.649900862
159,0.650445567
158.5,0.650972441
158,0.651470638
157.5,0.651929793
157,0.652340144
156.5,0.652692627
156,0.652978969
155.5,0.653191776
155,0.653324627
154.5,0.653372185
154,0.653330322
153.5,0.653196243
153,0.65296862
152.5,0.652647708
152,0.652235419
151.5,0.651735352
151,0.651152779
150.5,0.650494571
150,0.649769075
149.5,0.648985948
149,0.64815593
148.5,0.64729057
148,0.646401925
147.5,0.645502237
147,0.644603618
146.5,0.64371773
146,0.64285547
145.5,0.642026674
145,0.641239858
144.5,0.640501997
144,0.639818358
143.5,0.639192383
143,0.638625618
142.5,0.63811769
142,0.63766635
141.5,0.637267579
141,0.636915742
140.5,0.636603747
140,0.636323228
139.5,0.636064738
139,0.635817963
138.5,0.635571974
